iter	RMSE
0	3.971059534
1	3.92890139
2	3.882994217
3	3.843051263
4	3.808979665
5	3.782588448
6	3.758172289
7	3.734112299
8	3.714251464
9	3.689989509
10	3.667890811
11	3.652065594
12	3.633393811
13	3.615789483
14	3.597127885
15	3.584479509
16	3.572196294
17	3.55895302
18	3.547913331
19	3.537686627
20	3.526129449
21	3.512381038
22	3.502663434
23	3.495023654
24	3.484286015
25	3.47736328
26	3.471291033
27	3.464519348
28	3.455472372
29	3.44938342
30	3.444589161
31	3.440958413
32	3.434763136
33	3.427303242
34	3.419956862
35	3.415393977
36	3.411571998
37	3.410607946
38	3.407026443
39	3.406192633
40	3.405244792
41	3.401467507
42	3.397659384
43	3.397006069
44	3.396107252
45	3.395058412
46	3.394314924
47	3.391083521
48	3.390274103
49	3.389377726
50	3.388464302
51	3.387702385
52	3.381343503
53	3.380374578
54	3.3763469
55	3.375592378
56	3.374760683
57	3.373958132
58	3.373256371
59	3.370500231
60	3.366560237
61	3.365760862
62	3.36495517
63	3.364145357
64	3.363304718
65	3.360705482
66	3.359619107
67	3.357608319
68	3.353760834
69	3.352942603
70	3.352245212
71	3.349704918
72	3.348965897
73	3.346315114
74	3.345410952
75	3.342580609
76	3.341757583
77	3.341012647
78	3.340292374
79	3.339494377
80	3.338608601
81	3.33785004
82	3.337069279
83	3.336475007
84	3.335606693
85	3.334854065
86	3.334272759
87	3.333359875
88	3.33245435
89	3.331622767
90	3.330833996
91	3.330088305
92	3.32937461
93	3.328631247
94	3.32796839
95	3.327049324
96	3.326315036
97	3.325403621
98	3.324629416
99	3.323745432
100	3.32300981
101	3.320889477
102	3.319601668
103	3.318994053
104	3.318256833
105	3.317410757
106	3.316682852
107	3.315901441
108	3.315330647
109	3.314343813
110	3.313606647
111	3.313028551
112	3.312181142
113	3.311445082
114	3.310682938
115	3.310028416
116	3.308260195
117	3.307650426
118	3.306908425
119	3.306039469
120	3.303573439
121	3.302819011
122	3.29919517
123	3.29846353
124	3.297733688
125	3.29686121
126	3.295942243
127	3.295021023
128	3.292537695
129	3.291851337
130	3.290900737
131	3.290061639
132	3.289354943
133	3.288564416
134	3.287759604
135	3.287027668
136	3.284723736
137	3.283837486
138	3.283003374
139	3.28212532
140	3.281330645
141	3.28044432
142	3.277509397
143	3.276098975
