iter	Passed	Remaining
0	65	65012
1	69	34797
2	74	24593
3	78	19485
4	82	16382
5	86	14299
6	90	12800
7	94	11684
8	98	10842
9	102	10158
10	106	9582
11	110	9116
12	114	8706
13	118	8369
14	122	8061
15	127	7834
16	131	7600
17	135	7388
18	139	7192
19	143	7040
20	147	6886
21	151	6746
22	155	6616
23	159	6505
24	164	6396
25	168	6310
26	172	6221
27	177	6164
28	183	6153
29	189	6125
30	198	6191
31	259	7862
32	266	7801
33	275	7825
34	280	7738
35	285	7645
36	290	7550
37	294	7444
38	298	7349
39	302	7252
40	306	7160
41	310	7073
42	314	6991
43	318	6909
44	322	6834
45	326	6763
46	330	6701
47	334	6642
48	339	6584
49	343	6521
50	347	6461
51	351	6400
52	355	6348
53	359	6292
54	363	6246
55	367	6195
56	371	6144
57	375	6094
58	379	6059
59	383	6014
60	388	5975
61	393	5947
62	397	5905
63	400	5864
64	404	5825
65	410	5808
66	418	5823
67	422	5792
68	426	5757
69	431	5732
70	435	5699
71	439	5667
72	443	5633
73	447	5600
74	451	5567
75	455	5537
76	459	5506
77	463	5477
78	467	5446
79	470	5416
80	474	5386
81	478	5360
82	483	5339
83	487	5316
84	491	5295
85	496	5274
86	500	5249
87	504	5226
88	508	5204
89	512	5181
90	516	5157
91	520	5136
92	524	5114
93	528	5092
94	532	5070
95	536	5047
96	540	5027
97	543	5006
98	547	4985
99	551	4964
100	555	4947
101	559	4928
102	563	4909
103	568	4894
104	572	4880
105	576	4864
106	580	4847
107	584	4829
108	589	4816
109	593	4800
110	597	4783
111	601	4765
112	605	4751
113	609	4734
114	613	4722
115	617	4706
116	621	4691
117	625	4675
118	629	4660
119	633	4644
120	637	4632
121	641	4616
122	645	4603
123	649	4588
124	653	4573
125	657	4558
126	661	4544
127	665	4530
128	669	4518
129	673	4504
130	677	4490
131	680	4477
132	684	4463
133	688	4451
134	692	4437
135	696	4424
136	700	4412
137	704	4402
138	708	4390
139	712	4377
140	716	4365
141	721	4356
142	725	4345
143	728	4332
144	732	4320
145	736	4309
146	740	4298
147	744	4287
148	748	4275
149	752	4264
150	756	4252
151	760	4241
152	764	4233
153	768	4223
154	772	4212
155	776	4201
156	781	4193
157	785	4184
158	789	4175
159	793	4166
160	797	4156
161	801	4147
162	805	4138
163	810	4129
164	813	4118
165	817	4109
166	821	4099
167	825	4089
168	830	4082
169	834	4072
170	838	4062
171	841	4052
172	845	4043
173	849	4034
174	853	4024
175	857	4014
176	861	4006
177	865	3996
178	869	3986
179	873	3977
180	876	3967
181	880	3957
182	884	3948
183	888	3939
184	892	3930
185	896	3922
186	900	3912
187	904	3905
188	908	3897
189	912	3888
190	916	3880
191	920	3872
192	924	3863
193	927	3854
194	931	3846
195	935	3837
196	939	3829
197	943	3820
198	947	3812
199	951	3804
200	954	3796
201	958	3788
202	962	3780
203	967	3773
204	971	3765
205	974	3757
206	979	3752
207	983	3745
208	987	3737
209	991	3729
210	995	3722
211	999	3715
212	1003	3708
213	1007	3700
214	1011	3692
215	1015	3684
216	1019	3677
217	1023	3669
218	1026	3662
219	1030	3654
220	1034	3646
221	1038	3639
